0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Numero de l'étape,Etape 1,Etape 2,Etape 3
,,,,,,,,,,,,,,Nom de l'étape,Présentaition,Npm du patien,Etat du patien
,,,,,,,,,,,,,,Savoir si des étapes peuvent être facultative ,non,non,non
,,,,,,,,,,,,,,Savoir si des étapes peuvent changer de places dans le scénario,,3,2
,,,,,,,,,,,,,,Texte idéal de l’étudiant soignant,"Bonjour, je suis ""nom, orénom"", étudiant en soins infirmiers",Quel est votre nom et prlnom,Comment allez vous
,,,,,,,,,,,,,,Critère de réussite de la réponse pour passer à l’étape suivante,avoir nom prenom + mot infirmier,demande précise du nom et prénom,
,,,,,,,,,,,,,,Image visualisante de l’étape (dictionnaire d’image ),patient dans un lit,patient dans lit,patient lit
,,,,,,,,,,,,,,Consignes “ instruction aide pour l’étudiant”,"Vous vous etes pas présentlé, qui êtes vous?",,
,,,,,,,,,,,,,,,,Demander au patient son nom et prénom,Demandez au patient comment il va
,,,,,,,,,,,,,,,,,
N° Etape,Nom Etape,Obligatoire,Facultative,Autres étapes possibles,Texte idéal,Critères de réussite,Image,Réponse Chatbat,"Infos étape ""Réflexive""","Infos étape ""Directive""",Consigne Aide,Feed-back possible,,,,,
1,Objectifs scénario,X,,Non,Il est attendu que l’étudiant·e :,Objectifs à inclure dans le prompt initial,Non,,,,,,,,,,
,,,,,1.       Se présente à la résident·e,,,,,,,,,,,,
,,,,,2.       Explique sa présence en chambre (apporter le petit-déjeuner),,,,,,,,,,,,
,,,,,3.       Dépose le plateau repas à table,,,,,,,,,,,,
,,,,,"4.       Repère les signes de douleur (gémissements, refus de manger – comportement inhabituel)",,,,,,,,,,,,
,,,,,"5.       Évalue la douleur (OPQRSTUI, échelle de la douleur)",,,,,,,,,,,,
,,,,,6.       Adapte son mode de communication à la résidente (troubles sensoriels et cognitifs),,,,,,,,,,,,
,,,,,7.       Transmet l’information à son·sa référent·e (ISBAR).,,,,,,,,,,,,
2,Résumé de la situation,X,,Non,"Madame Aubrey, Denise, 14.05.1940, est une résidente de l’EMS Harmonia. Il est 08h30 du matin et Madame est dans sa chambre. L’étudiant·e a comme consigne de lui apporter le plateau avec le petit-déjeuner. Dès l’entrée de l’étudiant·e en chambre, Madame gémie. Elle refuse de prendre son petit-déjeuner, comportement qui n’est pas habituel.",Résumé à inclure dans le prompt initial,Non,,"Faire apparaitre après 30 sec.
""Avant de vous rendre auprès de la patiente, prenez le temps de consulter le dossier médical""","En même temps que l'info ""réflexive"", faire apparaitre :
""Pour cela, appuyer sur l'îcône DOSSIER MEDICAL""",,,,,,,
3,Dossier médical,X,,Non,-Placement dans établissement médico-social (EMS) l’Harmonia depuis un an.,Valide la lecture du dossier médical,"
- Photo patiente de 1940 souriante pour dossier médical

Voir Dossier ""Dictionnaire Images"" :
 https://hessoit.sharepoint.com/:p:/r/sites/MXColloborationHES-SOSantinformatique/Documents%20partages/CPP%20-%20CareConverse/Projet%20Chatbot/3.%20Dictionnaire%20d%E2%80%99images.pptx?d=wf5d1a83c4c364d459f6d5002fc718304&csf=1&web=1&e=i2uF9I

 PDF ""Dossier médical"" qui s'affichera en dessous de la photo AVATAR en début de session

Voir Dossier ""Dictionnaire Images""
+ PDF déposé sur équipe ""TEAMS MX Colloboration HES-SO Santé"": Fichiers : Projet Chatbot",,"Faire apparaitre après 1 minute
""En fin de lecture, réfléchissez aux éventuelles problématiques auxquelles vous pourriez être confronté-es en visitant Mme Aubrey""","Une fois la lecture du dossier médical terminé:
cliquer sur l'icône CONSIGNES"" ",,,,,,,
,,,,,"-Madame a été placé en institution en raison d’une perte d’autonomie importante pour les activités de vie quotidienne et domestiques (AVQ-D) et des chutes à répétition, liées aux troubles neurocognitifs modérés.",,,,,,,,,,,,
,,,,,"-Sans réseau familiale, Madame a demandé d’être placé en EMS car sa sécurité à domicile n’était plus assurée.",,,,,,,,,,,,
,,,,,"-Madame est veuve depuis 10 ans, sans enfants.",,,,,,,,,,,,
,,,,,"-Madame Denise présente des troubles neurocognitifs modérés, une coxarthrose au niveau des deux hanches et un déficit auditif qui n’est pas compensé. Elle se déplace avec un rolator.",,,,,,,,,,,,
,,,,,"-Les troubles neurocognitifs ce manifestent chez Madame par une répétition fréquente des mêmes questions « À quelle heure on mange ?», par des oublis des événements récents tels que la prise des repas, une désorientation temporelle, une communication perturbée notamment par des phrases parfois confuses et une difficulté à finaliser une tâche comme se vêtir.",,,,,,,,,,,,
4,Consigne étudiant-e,X,,Non,"""Il est 08h30. Vous devez apporter le plateau du petit déjeuner et le déposer sur la table à manger de Madame Aubry à la chambre 101 """,Valide la lecture de la consigne,Afficher la consigne sous l'avatar,,,"Inclure d'emblée sur image:
""Une fois la consigne lue, cliquer sur l'icône ENTREE EN CHAMBRE",,,,,,,
5,Présentation (1/2),X,,À l’étape 6,"« Bonjour, je m’appelle nom, prénom et je suis étudiant-e infirmier-ère, actuellement en 1ère année Bachelor »","Se présenter à la résidente (nom, prénom, fonction)","Patiente de 1940 assise dans un grand fauteuil pour personne âgée et qui se tient la tête avec une main

Voir Dossier ""Dictionnaire Images""",Pas de réponse,"Après la première tentative de présentation: 
""La patiente ne réagit pas à avotre sollicitation, une information présente dans le dossier médical pourrait vous donner une explication.
Essayer à nouveau""","Après la deuxième tentative de présentation: 
Ecrire sous l'image : 
""La patiente ne vous a pas entendu, car elle a un déficit auditif non-compensé

 Cliquez sur « J’ai compris » pour passer à l’étape suivante",Faire apparaitre l’image « Patiente assise au fauteuil »,,,,,,
6,Présentation (2/2),X,,A l’étape 5,"« Je m’assieds en face de vous, comme ça vous me voyez bien »","Doit aborder la résidente de face, lentement et calmement, en se mettant à sa hauteur.",Non,"Ne répond que si l’étudiant-e à verbalisé qu’il/elle se mettait à sa hauteur et en face d’elle pour lui parler, si OK « Bonjour, vous ressemblez à ma voisine, c’est bien vous ? »","1er essai :
""Si la réponse de l'étudiant est soit :
- Je parle plus fort ou
- Si il ne verbalise pas qu'il se met à hauteur de la patiente ou
- Si  il ne verbalise pas qu'il s'assied en face de la patiente

""Faire apparaitre le texte suivant  :

""De quelle manière le/la soignante peut-il/elle ajuster sa posture et son attitude pour établir un contact et maintenir l’attention de la patiente ?""","si après le 2ème essai :
"" Si il ne verbalise toujours pas qu'il se met à hauteur de la patiente ou
- Si  il ne verbalise tounours pas qu'il s'assied en face de la patiente

""Faire apparaitre le texte suivant  :

""Pour capter l’attention d’une personne âgée présentant des troubles cognitifs, pensez à vous asseoir face à elle, à sa hauteur.
Cette position montre votre disponibilité et facilite la communication. »

 Cliquez sur « J’ai compris » pour passer à l’étape suivante",,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7,Vérifie identité,,X,A l’étape 5 ou 6,"« Vous êtes bien Madame Aubry, Denise, du 14.05.1940 ? »",,"Patiente de 1940 qui a les yeux fermés

Voir Dossier ""Dictionnaire Images""","Réponse uniquement si l’étudiant-e a verbalisé s’être mis à sa hauteur et en face d’elle pour lui parler, si OK « Oui c’est moi »","1er essai :
- Si écrit dans le chat ""Madame Aubry, Denise, du 14.05.1940"" ==> passer à l'étape suivante
- Si n'introduit PAS dans le chat les infos ci-dessus

Faire apparaitre le texte suivant :

""Comment pouvez-vous vous assurer que vous vous adressez bien à la bonne patiente?""","Si après 2ème essai :
- Ecrit dans le chat ""Madame Aubry, Denise, du 14.05.1940"" ==> passer à l'étape suivante

- Si n'introduit PAS dans le chat les infos ci-dessus

Faire apparaitre le texte suivant :

""Pour identifier correctement la patiente, vous devez lui demander son nom - prénom et sa date de naissance complète (JJ(MM/AA)""

Cliquez sur « J’ai compris » pour passer à l’étape suivante",Faire apparaitre l’image « Patiente yeux fermés »,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8,Application de la tâche,X,,,« Je vous apporte votre petit déjeuner » ,Doit signaler qu’elle/il apporte le plateau du petit déjeuner,"Patiente de 1940 qui a les yeux fermés et qui grimace à cause de la douleur

Voir Dossier ""Dictionnaire Images",Normalement la patiente émettrait des gémissements comme : Mmmmh – aaaaah,,"Après les gémissements
""Pour passer à l'étape suivante, vous pouvez verbaliser/écrire que vous poser le plateau repas et que vous engager la discussion avec Mme Aubry"" = TRIGGER pour poursuivre le scéanrio","Faire apparaitre l’image « Patiente grimace » avec si possible un audio ""gémissement""",,,,,,
,,,,,,,,,,,,,,,,,
,,,,,« Vous avez faim ? » (FACULTATIF),,,"« Oh non, je n’ai vraiment pas envie de manger »",,,,,,,,,
9,Identification de la situation,X,,,"« C’est étonnant, d’habitude vous demander régulièrement à quelle heure vous allez manger, vous n’êtes pas en forme ce matin ? »","Doit repérer les possibles signes de douleur : comportement inhabituel (refus de manger), gémissements et grimasses.","Patiente de 1940 se penche légèrement en avant sur le fauteuil en se tenant le bassin avec les mains, toujours en grimaçant 


Voir Dossier ""Dictionnaire Images",Répond uniquement si les questions sont courtes (max 35 mots) et dans un langage simple,"Si après 2ème essai :
- Ne demande pas si la personne à mal ou ne s'inquiète pas du manque d'appétit:

Faire apparaitre le texte suivant :

""C'est étonnant, dans le dossier médical, il est mentionné que Mme Aubry réclamme régulièrement ses repas. Quelle pourrait être la cause de son inappétence ?""","Si après 3ème essai :
- Ne demande toujours pas si la personne à mal ou ne s'inquiète pas du manque d'appétit

Faire apparaitre le texte suivant :

""Chez la personne âgée présentant des troubles cognitifs, la diminution ou la perte d’appétit peut fréquemment être le signe indirect d’une douleur non exprimée ou mal évaluée.
En raison des altérations de la communication verbale, la douleur peut se manifester par des changements comportementaux (refus de s’alimenter, apathie, agitation, grimaces, repli sur soi).
Il est donc essentiel que le soignant identifie et explore cette hypothèse en réalisant une évaluation systématique de la douleur en posant des questions courtes et dans un langage simple""

Cliquez sur « J’ai compris » pour passer à l’étape suivante",Faire apparaitre l’image « Patiente penchée en avant »,"RAG:
Résumé de la communication spécifique avec des rrésident-es présentants des troubles sensoriels et cognitifs (verbale - non-verbale)

Rappel des manifestations cliniques de la douleur chez les personnes présentants des troubles cognitifs

Résumé des alertes cliniques gériatriques",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,"« S'il vous plait, dites à mon mari de venir, il faut appeler la police avant qu'il fasse nuit ! »",,,,,,,,,
,,,,,"« Je constate que vous avez l’air d’avoir mal, c’est exact ? »",Doit utiliser des phrases courtes et un langage simple.,,,,,,,,,,,
,,,,,,Doit parler lentement et prononcer clairement.,,,,,,,,,,,
9,Evaluation clinique,X,,,Tente d’effectuer un OPQRSTUI :,"Tente un recueil de données OPQRSTUI, mais constate que la présence de troubles cognitifs ne permet pas l’utilisation de cet outil è doit verbaliser que l’OPQRSTUI n’est pas efficace dans cette situation",,"Dans ce contexte de tr neurocognitifs, la patiente répond à toutes les questions :","Après le 10 ème essai (=OPQRSTUI):
- Etudiant-e devrait avoir posé l'ensemble des questions incluent dans l'OPQRSTUI, donc après le 10ème essai.OU si Ensemble de l'OPQRSTUI a été traité dans une seule question

Faire apparaitre le texte suivant :

""Avez-vous obtenu toutes les informationns attendue après l'utilisation du OPQRSTUI ?""

Si tel est le cas : ""Cliquer sur l'icône JE CONTINUE

Si ce n'est pas le cas : ""Compléter les informations manquantes, puis Cliquer sur l'icône MAINTENANT J'AI TERMINE",,"Consigne: Après 3 questions de l'OPQRSTUI, signaler que la patiente n'arrive pas à répondre correctement à vos questions","Rappel de l'OPQRSTUI 

P:Provoqué / Pallier
Q :Qualité / Quantité
R:Région / Irradiation
S:Signes et symptômes associés
T:Temps
U:Understand / Signification
I: Impact fonctionnel",,,,,
,,,,,Exemples de questions,,,,,,,,,,,,
,,,,,,,,"« S'il vous plait, dites à mon mari de venir, il faut appeler la police avant qu'il fasse nuit ! »",,,,,,,,,
,,,,,« O : Avez-vous mal/des douleurs ?,,,,,,,,,,,,
,,,,,Provoquer : Qu’est ce qui provoque votre douleur ?,,,Dans un contexte « normal » les réponses auraient été :,,,,,,,,,
,,,,,Pallier : Qu’est ce qui aide à soulager votre douleur ?,,,,,,,,,,,,
,,,,,Qualité : Que ressentez-vous ?,,,O : J’ai mal / J’ai des douleurs,,,,,,,,,
,,,,,Quantité : l’étudiant·e doit préciser l’utilisation de l’échelle Algoplus,,,Provoquer : Quand je bouge ,,,,,,,,,
,,,,,R : Ou avez-vous mal/des douleur ? Pointez avec votre doigt. Est-ce que vous ressentez de la douleur ailleurs ?,,,Pallier : Rester tranquille,,,,,,,,,
,,,,,S : -,,,Qualité : C’est raide. ,,,,,,,,,
,,,,,T : Depuis quand avez-vous mal/des douleurs ? Est-ce que votre douleur est continu ou disparait par moments ?,,,R : Les deux hanches ,,,,,,,,,
,,,,,U : De quel problème croyez-vous qu’il s’agît ? Avez-vous déjà eu cette douleur dans le passé ?,,,S : -,,,,,,,,,
,,,,,I : Quel est l’impact de cette douleur sur votre quotidien ? »,,,T : Au réveil.,,,,,,,,,
,,,,,,,,U : C’est l’arthrose.,,,,,,,,,
,,,,,"«L’OPQRSTUI n’est pas efficace dans cette situation, je vais devoir utiliser une autre méthode d’évaluation de la douleur » ",,,I : Refus de s’alimenter,,,,,,,,,
