Accés QUIZZ,https://app.wooclap.com/MUSZZI/questionnaires/68d0f7636b9421df3b1ec7d7,,,,,,
,,,,,,,
Type,Title,Correct,Choice,Choice,Choice,Choice,Choice
MCQ,Comment peut-on aider une personne atteinte de la maladie d'Alzheimer à mieux comprendre?,4,En évitant de lui parler pour ne pas la fatiguer.,En lui posant des questions ouvertes,En lui parlant rapidement pour qu'elle comprenne vite.,En utilisant des phrases courtes et des termes simples.,
MCQ,Quelle est une bonne pratique lors de la communication avec la personne présentant des troubles cognitifs ?,4,Ne pas répéter les informations si elle ne comprend pas.,Se mettre de côté et lui parler proche de son oreille,Utiliser des questions ouvertes pour encourager la discussion.,Se mettre face à elle pour être dans son champ de vision.,
MCQ,Que faire si la personne atteinte de la maladie d'Alzheimer ne répond pas à votre présence?,2,Parler plus fort,Attirer son attention en effleurant son épaule ou sa main.,Taper dans ses mains pour qu'elle réagisse.,L'ignorer jusqu'à ce qu'elle réponde.,
MCQ,Comment doit-on adapter l'environnement pour faciliter la communication?,4,Mettre beaucoup de bruit pour stimuler la personne.,Allumer la télévision,Allumer toutes les lumières,Éviter la musique de fond et les lieux bruyants.,
MCQ,Quelle est une conséquence des troubles du langage chez la personne présentant des troubles cognitifs ?,4,Elle apprécie beaucoup plus de parler.,Elle n'a plus besoin d'aide pour communiquer.,Elle est plus attentive aux discussions de son entourage.,Elle peut devenir incohérente dans ses discours.,
MCQ,Comment la communication non verbale peut-elle aider dans l'échange avec la personne présentant des troubles cognitifs ?,2,Elle complique la compréhension.,Elle permet de transmettre des messages malgré la diminution de la parole.,Elle doit être évitée pour ne pas distraire la personne.,Elle n'a pas d'importance dans la communication.,
MCQ,Que doit-on faire si la personne atteinte de la maladie d'Alzheimer refuse de parler?,2,"Inciter la personne à parler, afin d'obtenir des réponses et ainsi éviter une perte du langage.",Respecter son silence et continuer à lui parler doucement.,Parler plus fort pour qu'elle réponde.,Lui poser plus de questions pour la faire parler.,
MCQ,Pourquoi est-il important de faire preuve de patience lors de la communication avec la personne présentant des troubles de la mémoire ?,2,Parce qu'elle ne veut pas communiquer.,Parce qu'elle a souvent besoin de plus de temps pour comprendre et répondre.,Parce qu'elle doit apprendre à parler plus vite pour entretenir sa capacité à interagir.,Parce qu'elle doit être régulièrement encourgée à répondre rapidement.,
MCQ,Que doit-on faire si la personne malade exprime un comportement inapproprié?,1,Ignorer ses propos et ne pas relever ses insultes.,Lui demander de se calmer immédiatement.,Réagir violemment pour lui faire comprendre.,Répondre en utilisant des propos vulgaires.,
MCQ,Une des règles pour communiquer efficacement avec une personne atteinte de démence est de :,1,Parler clairement et se présenter,Parler rapidement pour capter l'attention,Ne pas utiliser de gestes,Éviter de lui poser des questions,
MCQ,Que faut-il faire en priorité pour gérer l'agressivité chez une personne atteinte de démence?,3,Ignorer l'agressivité pour ne pas l'aggraver,Augmenter les doses de neuroleptiques,Faire preuve d'empathie et comprendre la cause de l'agressivité,Utiliser un ton de voix plus directif,
MCQ,Quelle sont les conséquences de la démence sur le comportement et l'humeur?,"1,2,3,4",Agitation,Etat confusionnel,Angoisse,Dépression,
MCQ,Quels sont les éléments importants à vérifier avant de communiquer avec une personne atteinte de démence?,"3,4",De vérifier systématiquement son taux de glycémie capillaire,de s’assurer que la personne ait passé un test cognitif récent,"Qu'elle dispose de ses lunettes, de ses prothèses auditives et dentaires",Que vous avez capter son attention,
